dataset,method,AUROC,AUROC_sd,AUPRC,AUPRC_sd,top10_precision,top10_lift,n_positive,n_negative,evaluation_type,date,negative_selection
curated_no_t2d_targetlike_27,TADE_full_logreg,0.8413333333333333,0.11637105405650594,0.8786738816738815,0.10287850634182827,0.9,1.7933333333333334,27,27,5fold_cv_on_curated_set,2026-07-02,"Open Targets target-like/druggable genes minus potential T2D gene union from DrugBank positives, candidate table, CTD, DISEASES, Know-GENE, ProphNet, GUILDify, TIGA, Geneshot, PubMed-Score, T2DKP-CVBF and T2DKP-RVBF; then require Open Targets T2D Score<=0.0217, diabetes_keyword_count<=10, and druggability_flags>=1."
curated_no_t2d_targetlike_27,TADE_full_extra_trees,0.8453333333333333,0.11570076346622205,0.8516190476190475,0.14231711863825655,0.9,1.7933333333333334,27,27,5fold_cv_on_curated_set,2026-07-02,"Open Targets target-like/druggable genes minus potential T2D gene union from DrugBank positives, candidate table, CTD, DISEASES, Know-GENE, ProphNet, GUILDify, TIGA, Geneshot, PubMed-Score, T2DKP-CVBF and T2DKP-RVBF; then require Open Targets T2D Score<=0.0217, diabetes_keyword_count<=10, and druggability_flags>=1."
curated_no_t2d_targetlike_27,GUILDify,0.7379972565157751,,0.8344385655496767,,1.0,2.0,27,27,fixed_external_gene_score,2026-07-02,"Open Targets target-like/druggable genes minus potential T2D gene union from DrugBank positives, candidate table, CTD, DISEASES, Know-GENE, ProphNet, GUILDify, TIGA, Geneshot, PubMed-Score, T2DKP-CVBF and T2DKP-RVBF; then require Open Targets T2D Score<=0.0217, diabetes_keyword_count<=10, and druggability_flags>=1."
curated_no_t2d_targetlike_27,Geneshot,0.7592592592592593,,0.7592592592592589,,1.0,2.0,27,27,fixed_external_gene_score,2026-07-02,"Open Targets target-like/druggable genes minus potential T2D gene union from DrugBank positives, candidate table, CTD, DISEASES, Know-GENE, ProphNet, GUILDify, TIGA, Geneshot, PubMed-Score, T2DKP-CVBF and T2DKP-RVBF; then require Open Targets T2D Score<=0.0217, diabetes_keyword_count<=10, and druggability_flags>=1."
curated_no_t2d_targetlike_27,PubMed-Score,0.7407407407407407,,0.7407407407407405,,1.0,2.0,27,27,fixed_external_gene_score,2026-07-02,"Open Targets target-like/druggable genes minus potential T2D gene union from DrugBank positives, candidate table, CTD, DISEASES, Know-GENE, ProphNet, GUILDify, TIGA, Geneshot, PubMed-Score, T2DKP-CVBF and T2DKP-RVBF; then require Open Targets T2D Score<=0.0217, diabetes_keyword_count<=10, and druggability_flags>=1."
curated_no_t2d_targetlike_27,CTD,0.6296296296296295,,0.723388378916568,,1.0,2.0,27,27,fixed_external_gene_score,2026-07-02,"Open Targets target-like/druggable genes minus potential T2D gene union from DrugBank positives, candidate table, CTD, DISEASES, Know-GENE, ProphNet, GUILDify, TIGA, Geneshot, PubMed-Score, T2DKP-CVBF and T2DKP-RVBF; then require Open Targets T2D Score<=0.0217, diabetes_keyword_count<=10, and druggability_flags>=1."
curated_no_t2d_targetlike_27,TADE_full_gradient_boosting,0.6793333333333333,0.17833177569413203,0.6913787878787879,0.15019643807650487,0.6,1.2066666666666666,27,27,5fold_cv_on_curated_set,2026-07-02,"Open Targets target-like/druggable genes minus potential T2D gene union from DrugBank positives, candidate table, CTD, DISEASES, Know-GENE, ProphNet, GUILDify, TIGA, Geneshot, PubMed-Score, T2DKP-CVBF and T2DKP-RVBF; then require Open Targets T2D Score<=0.0217, diabetes_keyword_count<=10, and druggability_flags>=1."
curated_no_t2d_targetlike_27,DISEASES,0.6851851851851851,,0.6851851851851851,,1.0,2.0,27,27,fixed_external_gene_score,2026-07-02,"Open Targets target-like/druggable genes minus potential T2D gene union from DrugBank positives, candidate table, CTD, DISEASES, Know-GENE, ProphNet, GUILDify, TIGA, Geneshot, PubMed-Score, T2DKP-CVBF and T2DKP-RVBF; then require Open Targets T2D Score<=0.0217, diabetes_keyword_count<=10, and druggability_flags>=1."
curated_no_t2d_targetlike_27,ProphNet,0.6131687242798354,,0.6810948849277831,,0.8333333333333334,1.6666666666666667,27,27,fixed_external_gene_score,2026-07-02,"Open Targets target-like/druggable genes minus potential T2D gene union from DrugBank positives, candidate table, CTD, DISEASES, Know-GENE, ProphNet, GUILDify, TIGA, Geneshot, PubMed-Score, T2DKP-CVBF and T2DKP-RVBF; then require Open Targets T2D Score<=0.0217, diabetes_keyword_count<=10, and druggability_flags>=1."
curated_no_t2d_targetlike_27,TIGA,0.6563786008230452,,0.6711934156378601,,1.0,2.0,27,27,fixed_external_gene_score,2026-07-02,"Open Targets target-like/druggable genes minus potential T2D gene union from DrugBank positives, candidate table, CTD, DISEASES, Know-GENE, ProphNet, GUILDify, TIGA, Geneshot, PubMed-Score, T2DKP-CVBF and T2DKP-RVBF; then require Open Targets T2D Score<=0.0217, diabetes_keyword_count<=10, and druggability_flags>=1."
