split,fold,train_n,test_n,train_pos,test_pos,train_neg,test_neg,test_unique_groups,overlap_groups,AUROC,AUPRC
gene_name,1,501,126,44,13,457,113,99,0,0.9591558883594282,0.8708712939482168
gene_name,2,501,126,43,14,458,112,99,0,0.9298469387755102,0.7630656854794785
gene_name,3,502,125,45,12,457,113,99,0,0.9992625368731564,0.9935897435897436
gene_name,4,502,125,46,11,456,114,99,0,0.9752791068580543,0.8708942572578937
gene_name,5,502,125,50,7,452,118,99,0,0.9769975786924939,0.8530020703933747
drug_name,1,501,126,45,12,456,114,97,0,1.0,1.0
drug_name,2,501,126,46,11,455,115,98,0,0.9770750988142293,0.8654571886243441
drug_name,3,502,125,45,12,457,113,97,0,0.9771386430678466,0.8149433899433899
drug_name,4,502,125,43,14,459,111,97,0,0.9234234234234234,0.8191685003844713
drug_name,5,502,125,49,8,453,117,98,0,0.985042735042735,0.9204545454545454
