experiment_id,config,fusion_mode,text_weight,omics_weight,AUROC_mean,AUROC_sd,AUPRC_mean,AUPRC_sd,top10_precision_mean,top10_lift_mean,OOF_AUROC,OOF_AUPRC,risk_level,safe_wording
MAXKNOWN_MULTIMODAL_text_l2_C0.03__omics_l1_C0.1_prob_average_textw0.7,text_l2_C0.03__omics_l1_C0.1,prob_average,0.7,0.30000000000000004,0.8974245080849407,0.05743408448108481,0.7203491910883215,0.09629939740568086,0.5142857142857142,6.034285714285716,0.8947035772974339,0.7198922217472696,sensitivity_multimodal_late_fusion,Multimodal late-fusion TADE variant; text and omics models are trained within each fold and fused with pre-specified weights.
MAXKNOWN_MULTIMODAL_text_l2_C0.03__omics_l1_C0.1_prob_average_textw0.8,text_l2_C0.03__omics_l1_C0.1,prob_average,0.8,0.19999999999999996,0.8915741281901421,0.05413391044048073,0.7175648773628314,0.09252153296127537,0.5142857142857142,6.034285714285716,0.8911642017444065,0.7183056227277547,sensitivity_multimodal_late_fusion,Multimodal late-fusion TADE variant; text and omics models are trained within each fold and fused with pre-specified weights.
MAXKNOWN_MULTIMODAL_text_l2_C0.03__omics_l1_C0.1_prob_average_textw0.5,text_l2_C0.03__omics_l1_C0.1,prob_average,0.5,0.5,0.9053672316384181,0.06522494260201443,0.716706943577653,0.13645321596963003,0.5142857142857142,6.034285714285716,0.8963468588041966,0.7027804045183382,sensitivity_multimodal_late_fusion,Multimodal late-fusion TADE variant; text and omics models are trained within each fold and fused with pre-specified weights.
MAXKNOWN_MULTIMODAL_text_l2_C0.1__omics_l1_C0.1_prob_average_textw0.7,text_l2_C0.1__omics_l1_C0.1,prob_average,0.7,0.30000000000000004,0.8953321644262614,0.04691677598190084,0.7147164506100676,0.1116992190036518,0.5142857142857142,6.034285714285716,0.8890152951586399,0.7142082328164571,sensitivity_multimodal_late_fusion,Multimodal late-fusion TADE variant; text and omics models are trained within each fold and fused with pre-specified weights.
MAXKNOWN_MULTIMODAL_text_l2_C0.1__omics_l1_C0.1_prob_average_textw0.8,text_l2_C0.1__omics_l1_C0.1,prob_average,0.8,0.19999999999999996,0.8913091759205143,0.043188302252266185,0.7132878791814962,0.10925079799817755,0.5142857142857142,6.034285714285716,0.8866135760333712,0.7042143733858681,sensitivity_multimodal_late_fusion,Multimodal late-fusion TADE variant; text and omics models are trained within each fold and fused with pre-specified weights.
MAXKNOWN_MULTIMODAL_text_l2_C0.03__omics_l1_C0.1_prob_average_textw0.9,text_l2_C0.03__omics_l1_C0.1,prob_average,0.9,0.09999999999999998,0.8887005649717515,0.054620909692691295,0.7130241136889406,0.07999163345126653,0.5142857142857142,6.034285714285716,0.888636076349387,0.7117747906906902,sensitivity_multimodal_late_fusion,Multimodal late-fusion TADE variant; text and omics models are trained within each fold and fused with pre-specified weights.
MAXKNOWN_MULTIMODAL_text_l2_C0.1__omics_l1_C0.1_prob_average_textw0.5,text_l2_C0.1__omics_l1_C0.1,prob_average,0.5,0.5,0.9029651276056887,0.061947759260679025,0.7087384286320457,0.14991461811368803,0.5142857142857142,6.034285714285716,0.8919226393629125,0.7160323491230642,sensitivity_multimodal_late_fusion,Multimodal late-fusion TADE variant; text and omics models are trained within each fold and fused with pre-specified weights.
MAXKNOWN_MULTIMODAL_text_l2_C0.03__omics_l1_C0.1_prob_average_textw0.95,text_l2_C0.03__omics_l1_C0.1,prob_average,0.95,0.050000000000000044,0.8864017143970386,0.05399260641659707,0.7086707506064377,0.07211073012670097,0.5142857142857142,6.034285714285716,0.8872456073821261,0.7059453501894615,sensitivity_multimodal_late_fusion,Multimodal late-fusion TADE variant; text and omics models are trained within each fold and fused with pre-specified weights.
MAXKNOWN_MULTIMODAL_text_l2_C0.1__omics_l2_C0.1_prob_average_textw0.95,text_l2_C0.1__omics_l2_C0.1,prob_average,0.95,0.050000000000000044,0.8845743230079876,0.050149849145705507,0.7078967056908233,0.092935633304605,0.5428571428571428,6.4,0.88130451270383,0.6793474860550127,sensitivity_multimodal_late_fusion,Multimodal late-fusion TADE variant; text and omics models are trained within each fold and fused with pre-specified weights.
MAXKNOWN_MULTIMODAL_text_l2_C0.1__omics_l1_C0.1_prob_average_textw0.9,text_l2_C0.1__omics_l1_C0.1,prob_average,0.9,0.09999999999999998,0.8888038184297681,0.046842552036981594,0.7039545458481629,0.09386412529868479,0.5428571428571428,6.4,0.8847174819871065,0.691990816461916,sensitivity_multimodal_late_fusion,Multimodal late-fusion TADE variant; text and omics models are trained within each fold and fused with pre-specified weights.
MAXKNOWN_MULTIMODAL_text_l2_C0.1__omics_l1_C0.1_prob_average_textw0.95,text_l2_C0.1__omics_l1_C0.1,prob_average,0.95,0.050000000000000044,0.8865049678550555,0.045755288237925594,0.7033684652620822,0.09300824738001469,0.5428571428571428,6.4,0.8833270130198457,0.6905641409305737,sensitivity_multimodal_late_fusion,Multimodal late-fusion TADE variant; text and omics models are trained within each fold and fused with pre-specified weights.
MAXKNOWN_MULTIMODAL_text_l2_C0.03__omics_l1_C0.1_prob_average_textw0.98,text_l2_C0.03__omics_l1_C0.1,prob_average,0.98,0.020000000000000018,0.8858270017533606,0.05391102258562484,0.702004083939771,0.06108695964052674,0.5142857142857142,6.034285714285716,0.8861079509543673,0.696443926812602,sensitivity_multimodal_late_fusion,Multimodal late-fusion TADE variant; text and omics models are trained within each fold and fused with pre-specified weights.
MAXKNOWN_MULTIMODAL_text_l2_C0.03__omics_l2_C0.1_prob_average_textw0.98,text_l2_C0.03__omics_l2_C0.1,prob_average,0.98,0.020000000000000018,0.8851490356516656,0.05500398770734491,0.7014812081227776,0.061452342018622465,0.5142857142857142,6.034285714285716,0.8848438882568576,0.687505395755178,sensitivity_multimodal_late_fusion,Multimodal late-fusion TADE variant; text and omics models are trained within each fold and fused with pre-specified weights.
MAXKNOWN_MULTIMODAL_text_l2_C0.1__omics_l1_C0.1_prob_average_textw0.98,text_l2_C0.1__omics_l1_C0.1,prob_average,0.98,0.020000000000000018,0.883528151178648,0.046435577222726225,0.6993593077529248,0.0885924093430921,0.5142857142857142,6.095238095238095,0.882062950322336,0.6848297670099217,sensitivity_multimodal_late_fusion,Multimodal late-fusion TADE variant; text and omics models are trained within each fold and fused with pre-specified weights.
MAXKNOWN_MULTIMODAL_text_l2_C0.1__omics_l1_C0.1_rank_average_textw0.98,text_l2_C0.1__omics_l1_C0.1,rank_average,0.98,0.020000000000000018,0.8829534385349698,0.04638521664671847,0.6992485657817177,0.08844374817886959,0.5142857142857142,6.095238095238095,0.881936544052585,0.6725635536262741,sensitivity_multimodal_late_fusion,Multimodal late-fusion TADE variant; text and omics models are trained within each fold and fused with pre-specified weights.
MAXKNOWN_MULTIMODAL_text_l2_C0.1__omics_l2_C0.1_prob_average_textw0.98,text_l2_C0.1__omics_l2_C0.1,prob_average,0.98,0.020000000000000018,0.882850185076953,0.04765927803254547,0.6987710724588071,0.0888349210778886,0.5142857142857142,6.095238095238095,0.8813045127038301,0.6793662771934166,sensitivity_multimodal_late_fusion,Multimodal late-fusion TADE variant; text and omics models are trained within each fold and fused with pre-specified weights.
MAXKNOWN_MULTIMODAL_text_l2_C0.03__omics_l1_C0.1_rank_average_textw0.98,text_l2_C0.03__omics_l1_C0.1,rank_average,0.98,0.020000000000000018,0.8833216442626144,0.055497988216506505,0.6982466261173355,0.057163163123832635,0.48571428571428565,5.72952380952381,0.8828845910757173,0.6710160303384946,sensitivity_multimodal_late_fusion,Multimodal late-fusion TADE variant; text and omics models are trained within each fold and fused with pre-specified weights.
MAXKNOWN_MULTIMODAL_text_l2_C0.03__omics_l2_C0.1_rank_average_textw0.98,text_l2_C0.03__omics_l2_C0.1,rank_average,0.98,0.020000000000000018,0.8827469316189361,0.05600570434573226,0.697810295399487,0.057126366136230476,0.48571428571428565,5.72952380952381,0.8839590443686007,0.6757664653601524,sensitivity_multimodal_late_fusion,Multimodal late-fusion TADE variant; text and omics models are trained within each fold and fused with pre-specified weights.
MAXKNOWN_MULTIMODAL_text_l2_C0.03__omics_l2_C0.1_prob_average_textw0.95,text_l2_C0.03__omics_l2_C0.1,prob_average,0.95,0.050000000000000044,0.8845743230079876,0.054945102868967366,0.6931478747894442,0.05054771153853737,0.5142857142857142,6.034285714285716,0.8838326380988497,0.6836554097112273,sensitivity_multimodal_late_fusion,Multimodal late-fusion TADE variant; text and omics models are trained within each fold and fused with pre-specified weights.
MAXKNOWN_MULTIMODAL_text_l2_C0.1__omics_l2_C0.1_rank_average_textw0.98,text_l2_C0.1__omics_l2_C0.1,rank_average,0.98,0.020000000000000018,0.882275472433275,0.045501780402716054,0.6859152324483844,0.09596846980831586,0.5142857142857142,6.095238095238095,0.8835166224244724,0.6725532445917604,sensitivity_multimodal_late_fusion,Multimodal late-fusion TADE variant; text and omics models are trained within each fold and fused with pre-specified weights.
MAXKNOWN_MULTIMODAL_text_l2_C0.03__omics_l2_C0.1_prob_average_textw0.9,text_l2_C0.03__omics_l2_C0.1,prob_average,0.9,0.09999999999999998,0.8865049678550555,0.05648501854338823,0.6855333847439111,0.07627653300728163,0.5142857142857142,6.034285714285716,0.8828213879408419,0.6791885704759242,sensitivity_multimodal_late_fusion,Multimodal late-fusion TADE variant; text and omics models are trained within each fold and fused with pre-specified weights.
MAXKNOWN_MULTIMODAL_text_l2_C0.1__omics_l2_C0.1_prob_average_textw0.9,text_l2_C0.1__omics_l2_C0.1,prob_average,0.9,0.09999999999999998,0.8814942528735633,0.04915684528064467,0.6782878621534083,0.06764947426018887,0.5142857142857142,6.034285714285716,0.8791556061180634,0.6682390758400784,sensitivity_multimodal_late_fusion,Multimodal late-fusion TADE variant; text and omics models are trained within each fold and fused with pre-specified weights.
MAXKNOWN_MULTIMODAL_text_l2_C0.1__omics_l2_C0.1_prob_average_textw0.8,text_l2_C0.1__omics_l2_C0.1,prob_average,0.8,0.19999999999999996,0.8813909994155464,0.05056878821319983,0.6686111674457539,0.06942515905930402,0.5142857142857142,6.034285714285716,0.8761218556440399,0.6488874068784193,sensitivity_multimodal_late_fusion,Multimodal late-fusion TADE variant; text and omics models are trained within each fold and fused with pre-specified weights.
MAXKNOWN_MULTIMODAL_text_l2_C0.1__omics_l2_C0.1_rank_average_textw0.95,text_l2_C0.1__omics_l2_C0.1,rank_average,0.95,0.050000000000000044,0.8802415741281902,0.04668850492022075,0.6656496471005396,0.10668678980845853,0.5142857142857142,6.034285714285716,0.881810137782834,0.6440678748882736,sensitivity_multimodal_late_fusion,Multimodal late-fusion TADE variant; text and omics models are trained within each fold and fused with pre-specified weights.
MAXKNOWN_MULTIMODAL_text_l2_C0.03__omics_l2_C0.1_rank_average_textw0.95,text_l2_C0.03__omics_l2_C0.1,rank_average,0.95,0.050000000000000044,0.8793571011104617,0.05737046563027635,0.6651161580097751,0.07196271836775404,0.5142857142857142,6.034285714285716,0.881810137782834,0.6415657509960365,sensitivity_multimodal_late_fusion,Multimodal late-fusion TADE variant; text and omics models are trained within each fold and fused with pre-specified weights.
MAXKNOWN_MULTIMODAL_text_l2_C0.03__omics_l2_C0.1_prob_average_textw0.8,text_l2_C0.03__omics_l2_C0.1,prob_average,0.8,0.19999999999999996,0.8836898499902592,0.056252280912290356,0.659552379346497,0.06652179167074002,0.48571428571428565,5.72952380952381,0.8792820123878144,0.65677379817211,sensitivity_multimodal_late_fusion,Multimodal late-fusion TADE variant; text and omics models are trained within each fold and fused with pre-specified weights.
MAXKNOWN_MULTIMODAL_text_l2_C0.03__omics_l2_C0.1_prob_average_textw0.7,text_l2_C0.03__omics_l2_C0.1,prob_average,0.7,0.30000000000000004,0.878840833820378,0.06399278725442002,0.6464628003095496,0.05914539024679136,0.48571428571428565,5.72952380952381,0.8720768550120086,0.6309716177430157,sensitivity_multimodal_late_fusion,Multimodal late-fusion TADE variant; text and omics models are trained within each fold and fused with pre-specified weights.
MAXKNOWN_MULTIMODAL_text_l2_C0.03__omics_l1_C0.1_rank_average_textw0.95,text_l2_C0.03__omics_l1_C0.1,rank_average,0.95,0.050000000000000044,0.8778979154490552,0.057808001198930946,0.6457052883701153,0.12902529485864608,0.5142857142857142,6.034285714285716,0.8790291998483124,0.6435343756317173,sensitivity_multimodal_late_fusion,Multimodal late-fusion TADE variant; text and omics models are trained within each fold and fused with pre-specified weights.
MAXKNOWN_MULTIMODAL_text_l2_C0.1__omics_l2_C0.1_prob_average_textw0.7,text_l2_C0.1__omics_l2_C0.1,prob_average,0.7,0.30000000000000004,0.876070524060004,0.05427041751967129,0.6452518896979312,0.07581735084090868,0.48571428571428565,5.72952380952381,0.8706863860447478,0.633046469434621,sensitivity_multimodal_late_fusion,Multimodal late-fusion TADE variant; text and omics models are trained within each fold and fused with pre-specified weights.
MAXKNOWN_MULTIMODAL_text_l2_C0.1__omics_l2_C0.1_rank_average_textw0.9,text_l2_C0.1__omics_l2_C0.1,rank_average,0.9,0.09999999999999998,0.8734326904344438,0.05124325952411315,0.6404957122201327,0.11366979476753818,0.5142857142857142,6.034285714285716,0.875742636834787,0.5901362328590654,sensitivity_multimodal_late_fusion,Multimodal late-fusion TADE variant; text and omics models are trained within each fold and fused with pre-specified weights.
