global_rank,gene_name,drug_name,tade_score,global_percentile_top,within_drug_rank,within_drug_total,within_drug_percentile_top,within_gene_rank,within_gene_total,within_gene_percentile_top,rapid_evidence_grade,evidence_role,disease_gene_or_drug_context,direct_pair_evidence_status,pdb_structural_support,docking_structural_support,safe_interpretation,curation_status
1,PPARG,Metformin glycinate,0.9793121814727784,0.00992063492063492,1,280,0.35714285714285715,1,36,2.7777777777777777,C_or_U,gene_level_or_drug_class_plausible_high_score,"strong/known diabetes gene or antidiabetic drug context, but pair-specific direct evidence not verified in rapid triage",not manually verified in rapid triage,none_in_current_pdb_positive_controls,not_available_in_current_docking_outputs,Plausible high-scoring pair at gene/drug-class level; requires manual direct-binding/PD evidence curation before interpretation.,rapid_triage_not_full_manual_literature_review
2,ABCC8,Metformin glycinate,0.9791160225868224,0.01984126984126984,2,280,0.7142857142857143,1,36,2.7777777777777777,C_or_U,gene_level_or_drug_class_plausible_high_score,"strong/known diabetes gene or antidiabetic drug context, but pair-specific direct evidence not verified in rapid triage",not manually verified in rapid triage,none_in_current_pdb_positive_controls,not_available_in_current_docking_outputs,Plausible high-scoring pair at gene/drug-class level; requires manual direct-binding/PD evidence curation before interpretation.,rapid_triage_not_full_manual_literature_review
3,KCNJ11,Metformin glycinate,0.9790833592414856,0.029761904761904764,3,280,1.0714285714285714,1,36,2.7777777777777777,C_or_U,gene_level_or_drug_class_plausible_high_score,"strong/known diabetes gene or antidiabetic drug context, but pair-specific direct evidence not verified in rapid triage",not manually verified in rapid triage,none_in_current_pdb_positive_controls,not_available_in_current_docking_outputs,Plausible high-scoring pair at gene/drug-class level; requires manual direct-binding/PD evidence curation before interpretation.,rapid_triage_not_full_manual_literature_review
4,SLC5A2,Metformin glycinate,0.9779543876647948,0.03968253968253968,4,280,1.4285714285714286,1,36,2.7777777777777777,C_or_U,gene_level_or_drug_class_plausible_high_score,"strong/known diabetes gene or antidiabetic drug context, but pair-specific direct evidence not verified in rapid triage",not manually verified in rapid triage,none_in_current_pdb_positive_controls,not_available_in_current_docking_outputs,Plausible high-scoring pair at gene/drug-class level; requires manual direct-binding/PD evidence curation before interpretation.,rapid_triage_not_full_manual_literature_review
5,GCK,Metformin glycinate,0.9749898314476012,0.0496031746031746,5,280,1.7857142857142856,1,36,2.7777777777777777,C_or_U,gene_level_or_drug_class_plausible_high_score,"strong/known diabetes gene or antidiabetic drug context, but pair-specific direct evidence not verified in rapid triage",not manually verified in rapid triage,none_in_current_pdb_positive_controls,not_available_in_current_docking_outputs,Plausible high-scoring pair at gene/drug-class level; requires manual direct-binding/PD evidence curation before interpretation.,rapid_triage_not_full_manual_literature_review
6,PNPLA3,Metformin glycinate,0.9749759435653688,0.05952380952380953,6,280,2.142857142857143,1,36,2.7777777777777777,C_or_U,gene_level_or_drug_class_plausible_high_score,"strong/known diabetes gene or antidiabetic drug context, but pair-specific direct evidence not verified in rapid triage",not manually verified in rapid triage,none_in_current_pdb_positive_controls,not_available_in_current_docking_outputs,Plausible high-scoring pair at gene/drug-class level; requires manual direct-binding/PD evidence curation before interpretation.,rapid_triage_not_full_manual_literature_review
7,GCKR,Metformin glycinate,0.9745622873306274,0.06944444444444445,7,280,2.5,1,36,2.7777777777777777,C_or_U,gene_level_or_drug_class_plausible_high_score,"strong/known diabetes gene or antidiabetic drug context, but pair-specific direct evidence not verified in rapid triage",not manually verified in rapid triage,none_in_current_pdb_positive_controls,not_available_in_current_docking_outputs,Plausible high-scoring pair at gene/drug-class level; requires manual direct-binding/PD evidence curation before interpretation.,rapid_triage_not_full_manual_literature_review
8,LPL,Metformin glycinate,0.9741621017456056,0.07936507936507936,8,280,2.857142857142857,1,36,2.7777777777777777,C_or_U,gene_level_or_drug_class_plausible_high_score,"strong/known diabetes gene or antidiabetic drug context, but pair-specific direct evidence not verified in rapid triage",not manually verified in rapid triage,none_in_current_pdb_positive_controls,not_available_in_current_docking_outputs,Plausible high-scoring pair at gene/drug-class level; requires manual direct-binding/PD evidence curation before interpretation.,rapid_triage_not_full_manual_literature_review
9,SLC2A2,Metformin glycinate,0.9738808870315552,0.08928571428571429,9,280,3.214285714285714,1,36,2.7777777777777777,C_or_U,gene_level_or_drug_class_plausible_high_score,"strong/known diabetes gene or antidiabetic drug context, but pair-specific direct evidence not verified in rapid triage",not manually verified in rapid triage,none_in_current_pdb_positive_controls,not_available_in_current_docking_outputs,Plausible high-scoring pair at gene/drug-class level; requires manual direct-binding/PD evidence curation before interpretation.,rapid_triage_not_full_manual_literature_review
10,ACE,Metformin glycinate,0.97382915019989,0.0992063492063492,10,280,3.571428571428571,1,36,2.7777777777777777,U,antidiabetic_drug_high_score_needs_manual_gene_pair_review,antidiabetic drug context; gene-level support not manually verified in rapid triage,not manually verified in rapid triage,none_in_current_pdb_positive_controls,not_available_in_current_docking_outputs,High score with antidiabetic drug; pair-specific evidence not established.,rapid_triage_not_full_manual_literature_review
